Meter_ID,Meter_MeasurePoint,Concentrator_ID
467,5,21020042
468,11,21020042
469,12,21020042
470,15,21020042
471,9,21020042
472,10,21020042
473,13,21020042
474,14,21020042
475,18,21020042
476,21,21020042
477,17,21020042
478,20,21020042
479,16,21020042
480,19,21020042
481,22,21020042
482,23,21020042
483,24,21020042
484,25,21020042
485,26,21020042
486,27,21020042
487,28,21020042
488,29,21020042
489,1,21020045
490,2,21020045
491,3,21020045
492,4,21020045
493,5,21020045
494,6,21020045
495,7,21020045
496,10,21020045
497,9,21020045
498,8,21020045
499,11,21020045
500,12,21020045
501,13,21020045
502,14,21020045
503,35,20100122
504,40,20100122
505,36,20100122
506,37,20100122
507,38,20100122
508,39,20100122
509,42,20100113
510,1,20100109
511,2,20100109
512,3,20100109
513,4,20100109
514,5,20100109
515,21,19072153
516,22,19072153
517,23,19072153
518,24,19072153
519,25,19072153
520,38,20100123
521,1,20100110
522,2,20100110
523,3,20100110
524,4,20100110
525,5,20100110
526,6,20100110
527,7,20100110
528,8,20100110
529,9,20100110
530,10,20100110
531,11,20100110
532,23,20100117
533,24,20100117
534,25,20100117
535,26,20100117
536,27,20100117
537,28,20100117
538,29,20100117
539,8,20100111
540,5,20100114
541,6,20100114
542,1,20100114
543,2,20100114
544,3,20100114
545,4,20100114
546,7,20100114
547,8,20100114
548,9,20100114
549,10,20100114
550,13,20100114
551,11,20100114
552,12,20100114
553,21,20100114
554,14,20100114
555,15,20100114
556,16,20100114
557,17,20100114
558,18,20100114
559,19,20100114
560,20,20100114
561,12,21020056
562,13,21020056
563,14,21020056
564,15,21020056
565,16,21020056
566,17,21020056
567,18,21020056
568,19,21020056
569,20,21020056
570,21,21020056
571,22,21020056
572,23,21020056
573,24,21020056
574,25,21020056
575,12,21020047
576,13,21020047
577,14,21020047
578,15,21020047
579,16,21020047
580,17,21020047
581,18,21020047
582,19,21020047
583,20,21020047
584,21,21020047
585,22,21020047
586,23,21020047
587,24,21020047
588,25,21020047
589,8,21020072
590,9,21020072
591,10,21020072
592,11,21020072
593,12,21020072
594,13,21020072
595,14,21020072
596,15,21020072
597,8,21020049
598,9,21020049
599,10,21020049
600,11,21020049
601,12,21020049
602,13,21020049
603,14,21020049
604,15,21020049
605,31,20100117
606,27,20100117
607,26,20100117
608,33,20100117
609,12,20100124
610,11,20100124
611,13,20100124
612,14,20100124
613,15,20100124
614,16,20100124
615,17,20100124
616,18,20100124
617,19,20100124
618,20,20100124
619,21,20100124
620,22,20100124
621,23,20100124
622,24,20100124
623,25,20100124
624,26,20100124
625,27,20100124
626,28,20100124
627,19,20100108
628,20,20100108
629,21,20100108
631,1,20101337
632,2,20101337
633,3,20101337
634,4,20101337
635,5,20101337
636,6,20101337
637,39,20100119
638,40,20100119
639,41,20100119
640,42,20100119
641,43,20100119
642,44,20100119
643,45,20100119
644,1,21020054
645,2,21020054
646,3,21020054
647,4,21020054
648,5,21020054
649,6,21020054
650,7,21020054
651,8,21020054
652,1,21020067
653,2,21020067
654,3,21020067
655,4,21020067
656,5,21020067
657,6,21020067
658,7,21020067
659,8,21020067
660,9,21020067
661,10,21020067
662,11,21020067
663,12,21020067
664,13,21020067
665,14,21020067
666,3,21020050
667,2,21020050
668,1,21020050
669,4,21020050
670,5,21020050
671,6,21020050
672,7,21020050
673,8,21020050
674,9,21020050
675,1,21020053
676,2,21020053
677,3,21020053
678,4,21020053
679,5,21020053
680,6,21020053
681,7,21020053
682,1,21020048
683,2,21020048
684,3,21020048
685,4,21020048
686,5,21020048
687,1,21020055
688,2,21020055
689,3,21020055
690,4,21020055
691,8,21020055
692,9,21020055
693,10,21020055
694,1,21020044
695,2,21020044
